,RunTime,Accuracy,Bal_Acc,Precision,Recall,F1,AUC,Year,Clf,Scaling,Sampling
2013_XGB_RandomUnder_norm,0:00:14.545382,0.5052,0.5052,0.6156,0.0277,0.3591,0.5831,2013,XGB,norm,RandomUnder
2013_XGB_RandomUnder_stand,0:00:13.437771,0.5018,0.5018,0.6436,0.0082,0.3413,0.5802,2013,XGB,stand,RandomUnder
2014_LR,0:00:11.447971,0.6428,0.6378,0.2723,0.6301,0.6849,0.6912,2014,LR,non,non
2014_LR_norm,0:00:15.323980,0.1747,0.5004,0.174,0.9999,0.0532,0.6955,2014,LR,norm,non
2014_LR_stand,0:00:12.159602,0.5725,0.6374,0.2513,0.7369,0.6229,0.6922,2014,LR,stand,non
2014_LR_SMOTE,0:00:15.410820,0.6403,0.6403,0.6418,0.6353,0.6403,0.6927,2014,LR,non,SMOTE
2014_LR_SMOTE_norm,0:00:19.329214,0.5005,0.5005,0.5002,1.0,0.3345,0.6536,2014,LR,norm,SMOTE
2014_LR_SMOTE_stand,0:00:16.316231,0.6392,0.6392,0.6324,0.6649,0.639,0.6889,2014,LR,stand,SMOTE
2014_LR_RandomUnder,0:00:11.285331,0.6359,0.6359,0.6375,0.6301,0.6359,0.6896,2014,LR,non,RandomUnder
2014_LR_RandomUnder_norm,0:00:14.947958,0.5005,0.5005,0.5003,0.9999,0.3346,0.6935,2014,LR,norm,RandomUnder
2014_LR_RandomUnder_stand,0:00:11.838801,0.6376,0.6376,0.6311,0.6622,0.6374,0.6904,2014,LR,stand,RandomUnder
2014_NB,0:00:11.254932,0.781,0.5874,0.3457,0.2904,0.7733,0.6818,2014,NB,non,non
2014_NB_norm,0:00:11.589044,0.8261,0.5,0.0,0.0,0.7474,0.5874,2014,NB,norm,non
2014_NB_stand,0:00:11.458264,0.8261,0.5,0.0,0.0,0.7474,0.5849,2014,NB,stand,non
2014_NB_SMOTE,0:00:15.742316,0.5721,0.5721,0.692,0.2599,0.5259,0.6893,2014,NB,non,SMOTE
2014_NB_SMOTE_norm,0:00:16.312876,0.5,0.5,0.0,0.0,0.3333,0.5782,2014,NB,norm,SMOTE
2014_NB_SMOTE_stand,0:00:16.309757,0.5,0.5,0.0,0.0,0.3333,0.5711,2014,NB,stand,SMOTE
2014_NB_RandomUnder,0:00:10.422235,0.5865,0.5865,0.7119,0.2904,0.5467,0.6804,2014,NB,non,RandomUnder
2014_NB_RandomUnder_norm,0:00:10.449411,0.5,0.5,0.0,0.0,0.3333,0.5848,2014,NB,norm,RandomUnder
2014_NB_RandomUnder_stand,0:00:10.405127,0.5,0.5,0.0,0.0,0.3333,0.5763,2014,NB,stand,RandomUnder
2014_DT,0:00:10.563180,0.5597,0.6318,0.2461,0.7423,0.6109,0.6771,2014,DT,non,non
2014_DT_norm,0:00:10.934121,0.4789,0.6195,0.2278,0.8352,0.5261,0.6339,2014,DT,norm,non
2014_DT_stand,0:00:10.744825,0.3915,0.5951,0.2103,0.9074,0.4182,0.609,2014,DT,stand,non
2014_DT_SMOTE,0:00:14.697555,0.6369,0.6369,0.6112,0.7526,0.632,0.6951,2014,DT,non,SMOTE
2014_DT_SMOTE_norm,0:00:15.233549,0.6302,0.6302,0.5896,0.8566,0.6102,0.6787,2014,DT,norm,SMOTE
2014_DT_SMOTE_stand,0:00:15.079514,0.6302,0.6302,0.5896,0.8566,0.6102,0.6784,2014,DT,stand,SMOTE
2014_DT_RandomUnder,0:00:10.279259,0.6313,0.6313,0.6074,0.7423,0.6267,0.6745,2014,DT,non,RandomUnder
2014_DT_RandomUnder_norm,0:00:10.436104,0.6176,0.6176,0.582,0.8352,0.5986,0.6307,2014,DT,norm,RandomUnder
2014_DT_RandomUnder_stand,0:00:10.336845,0.6176,0.6176,0.582,0.8352,0.5986,0.6312,2014,DT,stand,RandomUnder
2014_RF,0:00:43.180821,0.8257,0.5067,0.4709,0.0175,0.7528,0.6849,2014,RF,non,non
2014_RF_norm,0:00:34.475429,0.8261,0.5,0.0,0.0,0.7474,0.5802,2014,RF,norm,non
2014_RF_stand,0:00:37.630464,0.8261,0.5,0.0,0.0,0.7474,0.5612,2014,RF,stand,non
2014_RF_SMOTE,0:01:04.756358,0.5071,0.5071,0.8161,0.0183,0.3524,0.683,2014,RF,non,SMOTE
2014_RF_SMOTE_norm,0:00:50.050953,0.5,0.5,0.0,0.0,0.3333,0.5607,2014,RF,norm,SMOTE
2014_RF_SMOTE_stand,0:00:49.283675,0.5,0.5,0.0,0.0,0.3333,0.5479,2014,RF,stand,SMOTE
2014_RF_RandomUnder,0:00:33.433000,0.5069,0.5069,0.829,0.0175,0.3516,0.6845,2014,RF,non,RandomUnder
2014_RF_RandomUnder_norm,0:00:32.778294,0.5,0.5,0.0,0.0,0.3333,0.5792,2014,RF,norm,RandomUnder
2014_RF_RandomUnder_stand,0:00:31.355110,0.5,0.5,0.0,0.0,0.3333,0.5677,2014,RF,stand,RandomUnder
2014_XGB,0:00:17.913802,0.8215,0.5171,0.3957,0.0504,0.7599,0.6809,2014,XGB,non,non
2014_XGB_norm,0:00:18.421442,0.6876,0.5303,0.2103,0.2891,0.7058,0.5576,2014,XGB,norm,non
2014_XGB_stand,0:00:18.286586,0.7112,0.526,0.2115,0.2421,0.7187,0.5539,2014,XGB,stand,non
2014_XGB_SMOTE,0:00:24.045382,0.5032,0.5032,0.5817,0.0225,0.3539,0.6789,2014,XGB,non,SMOTE
2014_XGB_SMOTE_norm,0:00:23.810524,0.4782,0.4782,0.4474,0.185,0.4292,0.487,2014,XGB,norm,SMOTE
2014_XGB_SMOTE_stand,0:00:23.617278,0.4868,0.4868,0.4609,0.156,0.4237,0.4927,2014,XGB,stand,SMOTE
2014_XGB_RandomUnder,0:00:17.530232,0.5171,0.5171,0.7562,0.0504,0.3826,0.679,2014,XGB,non,RandomUnder
2014_XGB_RandomUnder_norm,0:00:17.376543,0.5304,0.5304,0.5587,0.2891,0.5014,0.5585,2014,XGB,norm,RandomUnder
2014_XGB_RandomUnder_stand,0:00:17.316284,0.5172,0.5172,0.5441,0.2127,0.4679,0.5394,2014,XGB,stand,RandomUnder
2015_LR,0:00:14.638836,0.6603,0.649,0.3145,0.6305,0.6936,0.7077,2015,LR,non,non
2015_LR_norm,0:00:25.342459,0.1949,0.5,0.1949,1.0,0.0636,0.718,2015,LR,norm,non
2015_LR_stand,0:00:15.391429,0.5975,0.6515,0.2907,0.7401,0.6389,0.7109,2015,LR,stand,non
2015_LR_SMOTE,0:00:24.330115,0.6518,0.6518,0.6567,0.6361,0.6517,0.711,2015,LR,non,SMOTE
2015_LR_SMOTE_norm,0:00:37.946262,0.5,0.5,0.5,1.0,0.3334,0.6663,2015,LR,norm,SMOTE
2015_LR_SMOTE_stand,0:00:26.962925,0.6523,0.6523,0.649,0.6634,0.6523,0.7085,2015,LR,stand,SMOTE
2015_LR_RandomUnder,0:00:14.102917,0.6493,0.6493,0.6552,0.6305,0.6492,0.7077,2015,LR,non,RandomUnder
2015_LR_RandomUnder_norm,0:00:24.615755,0.5,0.5,0.5,1.0,0.3334,0.7178,2015,LR,norm,RandomUnder
2015_LR_RandomUnder_stand,0:00:14.637815,0.6527,0.6527,0.6501,0.6615,0.6527,0.711,2015,LR,stand,RandomUnder
2015_NB,0:00:14.692270,0.762,0.6154,0.3861,0.375,0.7607,0.7006,2015,NB,non,non
2015_NB_norm,0:00:14.840051,0.8051,0.5,0.0,0.0,0.7182,0.6077,2015,NB,norm,non
2015_NB_stand,0:00:14.871952,0.8051,0.5,0.0,0.0,0.7182,0.6044,2015,NB,stand,non
2015_NB_SMOTE,0:00:27.103178,0.6049,0.6049,0.7104,0.3541,0.5784,0.7084,2015,NB,non,SMOTE
2015_NB_SMOTE_norm,0:00:25.995440,0.5,0.5,0.0,0.0,0.3333,0.6023,2015,NB,norm,SMOTE
