,RunTime,Accuracy,Bal_Acc,Precision,Recall,F1,AUC,Year,Clf,Scaling,Sampling
2017_RF_RandomUnder_norm,0:00:21.478790,0.5,0.5,1.0,0.0,0.3334,0.6553,2017,RF,norm,RandomUnder
2017_RF_RandomUnder_stand,0:00:21.639229,0.5001,0.5001,0.6364,0.0003,0.3337,0.6672,2017,RF,stand,RandomUnder
2017_XGB,0:00:14.393056,0.7708,0.5513,0.484,0.1492,0.7208,0.6987,2017,XGB,non,non
2017_XGB_norm,0:00:14.883353,0.7237,0.5509,0.3416,0.2346,0.7041,0.6157,2017,XGB,norm,non
2017_XGB_stand,0:00:14.337044,0.7401,0.5472,0.3639,0.1939,0.7088,0.62,2017,XGB,stand,non
2017_XGB_SMOTE,0:00:16.302497,0.5266,0.5266,0.6813,0.0999,0.4212,0.7027,2017,XGB,non,SMOTE
2017_XGB_SMOTE_norm,0:00:16.667627,0.4972,0.4972,0.4892,0.1271,0.4174,0.5209,2017,XGB,norm,SMOTE
2017_XGB_SMOTE_stand,0:00:16.980736,0.4976,0.4976,0.4861,0.0847,0.3943,0.5106,2017,XGB,stand,SMOTE
2017_XGB_RandomUnder,0:00:14.350784,0.5512,0.5512,0.7609,0.1492,0.4647,0.6985,2017,XGB,non,RandomUnder
2017_XGB_RandomUnder_norm,0:00:14.030056,0.5494,0.5494,0.6335,0.2346,0.4998,0.6162,2017,XGB,norm,RandomUnder
2017_XGB_RandomUnder_stand,0:00:14.356392,0.5402,0.5402,0.6511,0.1731,0.4686,0.6142,2017,XGB,stand,RandomUnder
2018_LR,0:00:11.675400,0.6569,0.6528,0.3594,0.6452,0.6829,0.708,2018,LR,non,non
2018_LR_norm,0:00:12.940393,0.2896,0.5352,0.2413,0.9865,0.2073,0.7052,2018,LR,norm,non
2018_LR_stand,0:00:11.840260,0.6172,0.6467,0.3368,0.7009,0.648,0.6972,2018,LR,stand,non
2018_LR_SMOTE,0:00:14.650572,0.6527,0.6527,0.6551,0.645,0.6527,0.7102,2018,LR,non,SMOTE
2018_LR_SMOTE_norm,0:00:15.580747,0.5377,0.5377,0.5198,0.9916,0.4178,0.6693,2018,LR,norm,SMOTE
2018_LR_SMOTE_stand,0:00:14.713413,0.646,0.646,0.647,0.6427,0.646,0.6988,2018,LR,stand,SMOTE
2018_LR_RandomUnder,0:00:11.506704,0.653,0.653,0.6555,0.6452,0.653,0.7087,2018,LR,non,RandomUnder
2018_LR_RandomUnder_norm,0:00:12.499033,0.5354,0.5354,0.5186,0.9865,0.4168,0.7049,2018,LR,norm,RandomUnder
2018_LR_RandomUnder_stand,0:00:11.656782,0.6454,0.6454,0.6493,0.6325,0.6454,0.6984,2018,LR,stand,RandomUnder
2018_NB,0:00:11.542779,0.7334,0.6032,0.4056,0.3639,0.7282,0.6951,2018,NB,non,non
2018_NB_norm,0:00:11.662214,0.772,0.5,0.0,0.0,0.6727,0.62,2018,NB,norm,non
2018_NB_stand,0:00:11.565168,0.772,0.5,0.0,0.0,0.6727,0.6264,2018,NB,stand,non
2018_NB_SMOTE,0:00:14.802656,0.5902,0.5902,0.6821,0.3379,0.5623,0.7021,2018,NB,non,SMOTE
2018_NB_SMOTE_norm,0:00:15.541782,0.5,0.5,0.0,0.0,0.3333,0.6234,2018,NB,norm,SMOTE
2018_NB_SMOTE_stand,0:00:15.062542,0.5,0.5,0.0,0.0,0.3333,0.6023,2018,NB,stand,SMOTE
2018_NB_RandomUnder,0:00:10.922342,0.6031,0.6031,0.6978,0.3639,0.579,0.6955,2018,NB,non,RandomUnder
2018_NB_RandomUnder_norm,0:00:10.979234,0.5,0.5,0.0,0.0,0.3333,0.6186,2018,NB,norm,RandomUnder
2018_NB_RandomUnder_stand,0:00:11.036939,0.5,0.5,0.0,0.0,0.3333,0.6213,2018,NB,stand,RandomUnder
2018_DT,0:00:10.757881,0.627,0.6466,0.3411,0.6827,0.6569,0.6877,2018,DT,non,non
2018_DT_norm,0:00:10.986814,0.6332,0.6359,0.339,0.641,0.6619,0.6646,2018,DT,norm,non
2018_DT_stand,0:00:10.946595,0.6549,0.6323,0.3485,0.5906,0.6797,0.6641,2018,DT,stand,non
2018_DT_SMOTE,0:00:15.240851,0.661,0.661,0.6463,0.7115,0.6602,0.7045,2018,DT,non,SMOTE
2018_DT_SMOTE_norm,0:00:14.333906,0.642,0.642,0.6389,0.6531,0.6419,0.6806,2018,DT,norm,SMOTE
2018_DT_SMOTE_stand,0:00:14.130448,0.6256,0.6256,0.6584,0.5219,0.6215,0.6878,2018,DT,stand,SMOTE
2018_DT_RandomUnder,0:00:10.719285,0.646,0.646,0.636,0.6827,0.6455,0.6879,2018,DT,non,RandomUnder
2018_DT_RandomUnder_norm,0:00:10.762490,0.636,0.636,0.6346,0.641,0.636,0.665,2018,DT,norm,RandomUnder
2018_DT_RandomUnder_stand,0:00:10.686324,0.6233,0.6233,0.6566,0.5169,0.619,0.67,2018,DT,stand,RandomUnder
2018_RF,0:00:35.887888,0.7762,0.5367,0.5531,0.0964,0.7097,0.716,2018,RF,non,non
2018_RF_norm,0:00:28.707842,0.772,0.5,1.0,0.0001,0.6727,0.6545,2018,RF,norm,non
2018_RF_stand,0:00:30.263157,0.772,0.5,1.0,0.0,0.6727,0.6512,2018,RF,stand,non
2018_RF_SMOTE,0:00:45.992525,0.5358,0.5358,0.8043,0.0946,0.4236,0.7178,2018,RF,non,SMOTE
2018_RF_SMOTE_norm,0:00:37.123176,0.5,0.5,1.0,0.0,0.3334,0.6654,2018,RF,norm,SMOTE
2018_RF_SMOTE_stand,0:00:36.631566,0.5,0.5,0.0,0.0,0.3333,0.6607,2018,RF,stand,SMOTE
2018_RF_RandomUnder,0:00:28.943853,0.5365,0.5365,0.8043,0.0964,0.4252,0.716,2018,RF,non,RandomUnder
2018_RF_RandomUnder_norm,0:00:25.129675,0.5,0.5,1.0,0.0001,0.3334,0.6546,2018,RF,norm,RandomUnder
2018_RF_RandomUnder_stand,0:00:26.271353,0.5,0.5,0.0,0.0,0.3333,0.6475,2018,RF,stand,RandomUnder
2018_XGB,0:00:16.076102,0.7731,0.5649,0.5064,0.1823,0.7295,0.7138,2018,XGB,non,non
2018_XGB_norm,0:00:16.464897,0.7254,0.5764,0.3738,0.3025,0.7147,0.6565,2018,XGB,norm,non
2018_XGB_stand,0:00:16.836453,0.7518,0.5446,0.3935,0.1636,0.7105,0.6483,2018,XGB,stand,non
2018_XGB_SMOTE,0:00:19.289115,0.5354,0.5354,0.7014,0.1232,0.4403,0.7052,2018,XGB,non,SMOTE
2018_XGB_SMOTE_norm,0:00:19.429060,0.536,0.536,0.5969,0.2216,0.4851,0.6225,2018,XGB,norm,SMOTE
2018_XGB_SMOTE_stand,0:00:19.508619,0.5048,0.5048,0.54,0.0652,0.3862,0.5745,2018,XGB,stand,SMOTE
2018_XGB_RandomUnder,0:00:15.266309,0.5648,0.5648,0.7761,0.1823,0.4902,0.714,2018,XGB,non,RandomUnder
2018_XGB_RandomUnder_norm,0:00:15.700273,0.5766,0.5766,0.6696,0.3025,0.5422,0.6566,2018,XGB,norm,RandomUnder
2018_XGB_RandomUnder_stand,0:00:16.578587,0.5355,0.5355,0.6958,0.1261,0.4419,0.6365,2018,XGB,stand,RandomUnder
2019_LR,0:00:10.123544,0.6387,0.6418,0.2668,0.6464,0.6831,0.6913,2019,LR,non,non
2019_LR_norm,0:00:10.962383,0.2512,0.5386,0.1816,0.9735,0.2071,0.6939,2019,LR,norm,non
2019_LR_stand,0:00:10.299707,0.6053,0.6378,0.2543,0.6871,0.6545,0.6842,2019,LR,stand,non
2019_LR_SMOTE,0:00:10.851739,0.6436,0.6436,0.6418,0.6501,0.6436,0.6936,2019,LR,non,SMOTE
2019_LR_SMOTE_norm,0:00:11.161007,0.5438,0.5438,0.5233,0.984,0.4342,0.6638,2019,LR,norm,SMOTE
2019_LR_SMOTE_stand,0:00:11.009520,0.6369,0.6369,0.6467,0.6037,0.6365,0.6887,2019,LR,stand,SMOTE
2019_LR_RandomUnder,0:00:10.230833,0.6425,0.6425,0.6415,0.6464,0.6425,0.6917,2019,LR,non,RandomUnder
2019_LR_RandomUnder_norm,0:00:10.446438,0.5352,0.5352,0.5187,0.9748,0.4238,0.6953,2019,LR,norm,RandomUnder
2019_LR_RandomUnder_stand,0:00:10.147512,0.6399,0.6399,0.6441,0.6254,0.6399,0.6866,2019,LR,stand,RandomUnder
2019_NB,0:00:10.039162,0.7956,0.5693,0.3442,0.2268,0.778,0.6851,2019,NB,non,non
2019_NB_norm,0:00:10.130164,0.8303,0.5006,0.4643,0.0017,0.754,0.6149,2019,NB,norm,non
2019_NB_stand,0:00:10.178751,0.8304,0.5,0.0,0.0,0.7534,0.6516,2019,NB,stand,non
2019_NB_SMOTE,0:00:10.905911,0.5441,0.5441,0.6666,0.1765,0.4729,0.6866,2019,NB,non,SMOTE
2019_NB_SMOTE_norm,0:00:11.049187,0.5,0.5,0.4643,0.0003,0.3336,0.6378,2019,NB,norm,SMOTE
2019_NB_SMOTE_stand,0:00:10.993120,0.5,0.5,0.0,0.0,0.3333,0.6294,2019,NB,stand,SMOTE
2019_NB_RandomUnder,0:00:09.875449,0.571,0.571,0.7281,0.2268,0.5134,0.6861,2019,NB,non,RandomUnder
2019_NB_RandomUnder_norm,0:00:09.886320,0.5007,0.5007,0.8125,0.0017,0.3351,0.6163,2019,NB,norm,RandomUnder
2019_NB_RandomUnder_stand,0:00:09.875392,0.5,0.5,0.0,0.0,0.3333,0.6479,2019,NB,stand,RandomUnder
2019_DT,0:00:09.897202,0.6131,0.6313,0.2535,0.6589,0.6613,0.6714,2019,DT,non,non
2019_DT_norm,0:00:09.900332,0.8304,0.5,0.0,0.0,0.7534,0.5958,2019,DT,norm,non
2019_DT_stand,0:00:09.921175,0.8304,0.5,0.0,0.0,0.7534,0.5792,2019,DT,stand,non
2019_DT_SMOTE,0:00:10.487831,0.6304,0.6304,0.6238,0.6571,0.6301,0.6698,2019,DT,non,SMOTE
2019_DT_SMOTE_norm,0:00:10.529228,0.5,0.5,0.0,0.0,0.3333,0.6132,2019,DT,norm,SMOTE
2019_DT_SMOTE_stand,0:00:10.450841,0.5,0.5,0.0,0.0,0.3333,0.6132,2019,DT,stand,SMOTE
2019_DT_RandomUnder,0:00:09.842217,0.629,0.629,0.6218,0.6589,0.6287,0.6693,2019,DT,non,RandomUnder
2019_DT_RandomUnder_norm,0:00:09.817103,0.5,0.5,0.0,0.0,0.3333,0.5962,2019,DT,norm,RandomUnder
2019_DT_RandomUnder_stand,0:00:09.821148,0.5,0.5,0.0,0.0,0.3333,0.5962,2019,DT,stand,RandomUnder
2019_RF,0:00:17.373080,0.8308,0.5074,0.5326,0.0181,0.7593,0.7066,2019,RF,non,non
2019_RF_norm,0:00:16.213749,0.8304,0.5,0.0,0.0,0.7534,0.6473,2019,RF,norm,non
2019_RF_stand,0:00:16.489728,0.8304,0.5,0.0,0.0,0.7534,0.6422,2019,RF,stand,non
2019_RF_SMOTE,0:00:21.419321,0.5031,0.5031,0.7453,0.0095,0.3431,0.7111,2019,RF,non,SMOTE
2019_RF_SMOTE_norm,0:00:18.232168,0.5,0.5,0.0,0.0,0.3333,0.6454,2019,RF,norm,SMOTE
2019_RF_SMOTE_stand,0:00:18.482322,0.5,0.5,0.0,0.0,0.3333,0.629,2019,RF,stand,SMOTE
2019_RF_RandomUnder,0:00:14.807504,0.5074,0.5074,0.8424,0.0181,0.3524,0.7044,2019,RF,non,RandomUnder
2019_RF_RandomUnder_norm,0:00:14.184822,0.5,0.5,0.0,0.0,0.3333,0.6473,2019,RF,norm,RandomUnder
2019_RF_RandomUnder_stand,0:00:14.103226,0.5,0.5,0.0,0.0,0.3333,0.6466,2019,RF,stand,RandomUnder
2019_XGB,0:00:12.193595,0.8245,0.5425,0.4347,0.1159,0.7798,0.6971,2019,XGB,non,non
2019_XGB_norm,0:00:12.223828,0.7356,0.538,0.2306,0.239,0.7375,0.6208,2019,XGB,norm,non
2019_XGB_stand,0:00:11.993459,0.7084,0.5651,0.246,0.3481,0.7271,0.6346,2019,XGB,stand,non
2019_XGB_SMOTE,0:00:12.476394,0.5169,0.5169,0.6772,0.0646,0.3926,0.6995,2019,XGB,non,SMOTE
2019_XGB_SMOTE_norm,0:00:12.594754,0.5071,0.5071,0.5208,0.1771,0.4468,0.6157,2019,XGB,norm,SMOTE
2019_XGB_SMOTE_stand,0:00:12.606054,0.5251,0.5251,0.5581,0.2406,0.4833,0.6155,2019,XGB,stand,SMOTE
2019_XGB_RandomUnder,0:00:11.729040,0.5418,0.5418,0.7824,0.1159,0.4403,0.6982,2019,XGB,non,RandomUnder
2019_XGB_RandomUnder_norm,0:00:11.885799,0.5428,0.5428,0.6031,0.2503,0.5,0.6289,2019,XGB,norm,RandomUnder
2019_XGB_RandomUnder_stand,0:00:11.715972,0.5621,0.5621,0.6313,0.2987,0.5295,0.6359,2019,XGB,stand,RandomUnder
